,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Salinopolis,BR,-0.6136,-47.3561,78.35,88,85,8.1,heavy intensity rain
80,El Seibo,DO,18.7641,-69.0375,78.33,82,96,6.98,overcast clouds
81,Manavgat,TR,36.7867,31.4431,58.77,72,73,0.89,broken clouds
82,Oranjemund,NA,-28.55,16.4333,56.93,95,48,7.16,scattered clouds
83,Coruripe,BR,-10.1256,-36.1756,77.38,85,29,8.08,scattered clouds
84,Muisne,EC,0.6,-80.0333,77.74,85,74,9.26,broken clouds
85,Tigre,AR,-34.426,-58.5796,65.25,64,0,0.0,clear sky
86,Leningradskiy,RU,69.3833,178.4167,23.29,85,100,2.57,overcast clouds
87,Chokurdakh,RU,70.6333,147.9167,9.45,94,99,1.88,overcast clouds
88,Buraydah,SA,26.326,43.975,77.45,23,94,9.13,overcast clouds
89,Vostok,RU,46.4856,135.8833,54.36,47,98,4.94,overcast clouds
90,Ilulissat,GL,69.2167,-51.1,39.22,60,20,12.66,few clouds
91,Hilo,US,19.7297,-155.09,88.29,73,100,13.8,overcast clouds
92,Ulefoss,NO,59.2838,9.2646,54.32,75,24,5.66,few clouds
93,Kachiry,KZ,53.0675,76.1036,30.43,72,63,14.79,broken clouds
94,High Level,CA,58.5169,-117.136,42.91,39,75,3.44,broken clouds
95,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,71,11.18,light rain
96,Kaitangata,NZ,-46.2817,169.8464,49.44,77,99,13.65,overcast clouds
97,Bhatkal,IN,13.9667,74.5667,82.22,84,56,3.76,light rain
98,Victoria,HK,22.2855,114.1577,75.38,91,72,5.99,broken clouds
99,Nikolskoye,RU,59.7035,30.7861,42.8,92,8,2.91,clear sky
100,Rocha,UY,-34.4833,-54.3333,52.93,74,47,3.22,scattered clouds
101,Balkanabat,TM,39.5108,54.3671,64.71,62,98,3.27,overcast clouds
102,Jalu,LY,29.0331,21.5482,69.64,22,65,14.36,broken clouds
103,Jawad,IN,24.6,74.85,78.13,39,52,3.91,broken clouds
104,Bontang,ID,0.1333,117.5,79.09,86,100,1.59,overcast clouds
105,Aripuana,BR,-9.1667,-60.6333,73.8,98,97,1.74,overcast clouds
106,Iracoubo,GF,5.4802,-53.2011,75.83,91,100,0.69,heavy intensity rain
107,Punta Alta,AR,-38.8759,-62.0736,57.69,67,100,9.28,moderate rain
108,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,72,40,22.01,scattered clouds
109,Kisangani,CD,0.5167,25.2,70.3,92,66,1.79,broken clouds
110,Mayo,US,38.8876,-76.5119,66.61,67,100,13.8,overcast clouds
111,Cabo San Lucas,MX,22.8909,-109.9124,88.11,47,0,11.5,clear sky
112,Atbasar,KZ,51.8,68.3333,33.12,66,98,11.99,overcast clouds
113,Butaritari,KI,3.0707,172.7902,81.41,79,64,14.88,broken clouds
114,Moyale,KE,3.5167,39.0584,67.37,81,95,1.63,overcast clouds
115,Christchurch,NZ,-43.5333,172.6333,57.4,75,75,19.57,broken clouds
116,Kodiak,US,57.79,-152.4072,42.31,61,75,21.85,broken clouds
117,Albany,US,42.6001,-73.9662,55.81,51,100,1.01,overcast clouds
118,Ponta Do Sol,PT,32.6667,-17.1,59.72,64,67,12.3,broken clouds
119,Djambala,CG,-2.5447,14.7533,69.03,89,100,2.77,overcast clouds
